iter	Passed	Remaining
1296	2335	15672
1297	2337	15669
1298	2338	15665
1299	2341	15667
1300	2342	15665
1301	2344	15662
1302	2346	15658
1303	2347	15656
1304	2349	15653
1305	2351	15651
1306	2352	15648
1307	2354	15647
1308	2356	15645
1309	2357	15641
1310	2359	15638
1311	2361	15634
1312	2362	15630
1313	2364	15628
1314	2365	15625
1315	2367	15622
1316	2369	15620
1317	2370	15617
1318	2372	15614
1319	2374	15610
1320	2375	15607
1321	2377	15604
1322	2378	15601
1323	2380	15598
1324	2382	15598
1325	2384	15596
1326	2386	15594
1327	2387	15591
1328	2389	15588
1329	2390	15584
1330	2392	15581
1331	2393	15578
1332	2395	15575
1333	2397	15573
1334	2398	15570
1335	2400	15568
1336	2402	15564
1337	2403	15561
1338	2405	15557
1339	2407	15555
1340	2408	15552
1341	2410	15550
1342	2412	15548
1343	2413	15546
1344	2415	15546
1345	2417	15544
1346	2419	15540
1347	2420	15538
1348	2422	15534
1349	2424	15536
1350	2426	15534
1351	2427	15529
1352	2429	15527
1353	2431	15523
1354	2432	15520
1355	2434	15519
1356	2436	15517
1357	2438	15515
1358	2440	15514
1359	2441	15511
1360	2443	15510
1361	2444	15506
1362	2446	15503
1363	2448	15500
1364	2449	15497
1365	2451	15495
1366	2453	15492
1367	2454	15490
1368	2456	15489
1369	2458	15487
1370	2460	15483
1371	2461	15480
1372	2463	15477
1373	2465	15475
1374	2467	15475
1375	2468	15473
1376	2470	15470
1377	2472	15467
1378	2473	15464
1379	2475	15464
1380	2477	15462
1381	2479	15460
1382	2481	15458
1383	2482	15456
1384	2484	15456
1385	2486	15454
1386	2488	15455
1387	2490	15453
1388	2492	15451
1389	2494	15451
1390	2496	15449
1391	2497	15447
1392	2499	15445
1393	2501	15444
1394	2503	15441
1395	2504	15438
1396	2508	15445
1397	2510	15447
1398	2512	15445
1399	2513	15442
1400	2515	15441
1401	2517	15440
1402	2519	15437
1403	2521	15437
1404	2523	15436
1405	2525	15434
1406	2526	15432
1407	2528	15430
1408	2532	15441
1409	2534	15441
1410	2536	15440
1411	2538	15440
1412	2540	15439
1413	2542	15437
